fuel,engine_count,specific_impulse_s,fuel_density_kg_m3,fuel_mass_kg,fuel_volume_m3,fuel_volume_fraction,x51a_fuel_volume_equivalent,available_thrust_N,required_thrust_with_margin_N,powerplant_mass_kg,powerplant_mass_per_engine_kg,takeoff_mass_kg,takeoff_weight_N
JP-7,10,2300.0,803.0,29450.0,36.675,0.146700,240.467,600000.0,562072.2,5754.6,575.5,60381.9,592144.2
JP-7,10,2350.0,803.0,28596.7,35.612,0.142450,233.500,600000.0,562072.2,5754.6,575.5,59528.6,583776.5
JP-7,10,2400.0,803.0,27790.4,34.608,0.138433,226.916,600000.0,562072.2,5754.6,575.5,58722.2,575868.5
JP-7,10,2450.0,803.0,27027.1,33.658,0.134631,220.684,600000.0,562072.2,5754.6,575.5,57959.0,568383.9
JP-7,10,2500.0,803.0,26303.8,32.757,0.131028,214.777,600000.0,562072.2,5754.6,575.5,57235.7,561290.2
JP-7,12,2300.0,803.0,29450.0,36.675,0.146700,240.467,720000.0,562072.2,5754.6,479.5,60381.9,592144.2
JP-7,12,2350.0,803.0,28596.7,35.612,0.142450,233.500,720000.0,562072.2,5754.6,479.5,59528.6,583776.5
JP-7,12,2400.0,803.0,27790.4,34.608,0.138433,226.916,720000.0,562072.2,5754.6,479.5,58722.2,575868.5
JP-7,12,2450.0,803.0,27027.1,33.658,0.134631,220.684,720000.0,562072.2,5754.6,479.5,57959.0,568383.9
JP-7,12,2500.0,803.0,26303.8,32.757,0.131028,214.777,720000.0,562072.2,5754.6,479.5,57235.7,561290.2
JP-7,14,2300.0,803.0,29450.0,36.675,0.146700,240.467,840000.0,562072.2,5754.6,411.0,60381.9,592144.2
JP-7,14,2350.0,803.0,28596.7,35.612,0.142450,233.500,840000.0,562072.2,5754.6,411.0,59528.6,583776.5
JP-7,14,2400.0,803.0,27790.4,34.608,0.138433,226.916,840000.0,562072.2,5754.6,411.0,58722.2,575868.5
JP-7,14,2450.0,803.0,27027.1,33.658,0.134631,220.684,840000.0,562072.2,5754.6,411.0,57959.0,568383.9
JP-7,14,2500.0,803.0,26303.8,32.757,0.131028,214.777,840000.0,562072.2,5754.6,411.0,57235.7,561290.2
JP-7,16,2300.0,803.0,29450.0,36.675,0.146700,240.467,960000.0,562072.2,5754.6,359.7,60381.9,592144.2
JP-7,16,2350.0,803.0,28596.7,35.612,0.142450,233.500,960000.0,562072.2,5754.6,359.7,59528.6,583776.5
JP-7,16,2400.0,803.0,27790.4,34.608,0.138433,226.916,960000.0,562072.2,5754.6,359.7,58722.2,575868.5
JP-7,16,2450.0,803.0,27027.1,33.658,0.134631,220.684,960000.0,562072.2,5754.6,359.7,57959.0,568383.9
JP-7,16,2500.0,803.0,26303.8,32.757,0.131028,214.777,960000.0,562072.2,5754.6,359.7,57235.7,561290.2
