index,lat_deg,lon_deg,cumulative_surface_distance_km,cumulative_flight_distance_km,density_kg_m3,temperature_k
1,59.858600,17.638900,0.000,0.000,0.06972452,213.873
2,59.972760,17.586072,13.031,13.075,0.06970908,213.868
3,60.086906,17.532863,26.063,26.150,0.06969365,213.863
4,60.201036,17.479255,39.096,39.227,0.06967862,213.859
5,60.315148,17.425231,52.130,52.305,0.06966332,213.854
6,60.429239,17.370775,65.165,65.383,0.06964816,213.849
7,60.543307,17.315868,78.200,78.462,0.06963307,213.844
8,60.657350,17.260494,91.237,91.542,0.06961785,213.838
9,60.771366,17.204635,104.274,104.623,0.06960270,213.833
10,60.885353,17.148271,117.311,117.704,0.06958775,213.828
11,60.999309,17.091385,130.350,130.786,0.06957281,213.822
12,61.113232,17.033958,143.389,143.869,0.06955800,213.817
13,61.227119,16.975971,156.429,156.953,0.06954300,213.811
14,61.340970,16.917404,169.469,170.037,0.06952812,213.805
15,61.454783,16.858238,182.511,183.122,0.06951346,213.799
16,61.568555,16.798453,195.553,196.208,0.06949879,213.793
17,61.682285,16.738027,208.596,209.294,0.06948407,213.787
18,61.795970,16.676941,221.640,222.382,0.06946940,213.781
19,61.909611,16.615174,234.685,235.471,0.06945507,213.775
20,62.023203,16.552704,247.731,248.561,0.06944042,213.769
21,62.136747,16.489510,260.778,261.651,0.06942597,213.762
22,62.250241,16.425568,273.827,274.744,0.06941166,213.756
23,62.363682,16.360858,286.876,287.837,0.06939721,213.749
24,62.477070,16.295356,299.928,300.932,0.06938276,213.743
25,62.590402,16.229039,312.981,314.029,0.06936859,213.736
26,62.703678,16.161883,326.035,327.127,0.06935435,213.730
27,62.816896,16.093865,339.092,340.227,0.06934030,213.723
28,62.930055,16.024959,352.150,353.330,0.06932614,213.716
29,63.043152,15.955142,365.211,366.434,0.06931204,213.709
30,63.156187,15.884387,378.274,379.541,0.06929807,213.702
31,63.269159,15.812670,391.340,392.651,0.06928418,213.695
32,63.382065,15.739964,404.409,405.763,0.06927028,213.688
33,63.494905,15.666243,417.481,418.879,0.06925657,213.681
34,63.607678,15.591481,430.556,431.998,0.06924276,213.674
